startprofiel,startprofiel+extra,LF  startprofiel+extra,aangepast profiel,LF aangepast profiel ,regelpunt,kwartieren boven limiet,verlies aan energie,390 of 360A,profiel 360/390A afhankelijk van LF,verlies aan energie2,,startprofiel2,startprofiel2+extra,aangepast profiel2,profiel 360/390A2
252.8217391304,379.2326086957,0.4053941706,379.2326086957,0.4053941706,507,0,0,390,379.2326086957,0,0,,,,
224.3347826087,336.502173913,0.4084751565,336.502173913,0.4084751565,507,0,0,390,336.502173913,0,0,,,,
187.5391304348,281.3086956522,0.4105780516,281.3086956522,0.4105780516,507,0,0,390,281.3086956522,0,0,,,,
223.7413043478,335.6119565217,0.412338615,335.6119565217,0.412338615,507,0,0,390,335.6119565217,0,0,,,,
201.1891304348,301.7836956522,0.4133167058,301.7836956522,0.4133167058,507,0,0,390,301.7836956522,0,0,,,,
223.147826087,334.7217391304,0.4159820031,334.7217391304,0.4159820031,507,0,0,390,334.7217391304,0,0,,,,
209.497826087,314.2467391304,0.4158841941,314.2467391304,0.4158841941,507,0,0,390,314.2467391304,0,0,,,,
221.9608695652,332.9413043478,0.4169845462,332.9413043478,0.4169845462,507,0,0,390,332.9413043478,0,0,,,,
236.2043478261,354.3065217391,0.4187695618,354.3065217391,0.4187695618,507,0,0,390,354.3065217391,0,0,,,,
220.7739130435,331.1608695652,0.4216793818,331.1608695652,0.4216793818,507,0,0,390,331.1608695652,0,0,,,,
235.0173913043,352.5260869565,0.425958529,352.5260869565,0.425958529,507,0,0,390,352.5260869565,0,0,,,,
228.4891304348,342.7336956522,0.428868349,342.7336956522,0.428868349,507,0,0,390,342.7336956522,0,0,,,,
245.1065217391,367.6597826087,0.4326584507,367.6597826087,0.4326584507,507,0,0,390,367.6597826087,0,0,,,,
230.8630434783,346.2945652174,0.4358372457,346.2945652174,0.4358372457,507,0,0,390,346.2945652174,0,0,,,,
252.8217391304,379.2326086957,0.4404342723,379.2326086957,0.4404342723,507,0,0,390,379.2326086957,0,0,,,,
262.3173913043,393.4760869565,0.428403092,393.4760869565,0.428403092,507,1,0,390,390,23.4531586957,0,,,,
271.2195652174,406.8293478261,0.4192195478,406.8293478261,0.4192195478,340,2,0,390,390,113.5476097826,0,,,,
226.7086956522,340.0630434783,0.4223878556,340,0.4223862414,340,2,0.4253543478,390,340.0630434783,0,1,,,,
211.2782608696,316.9173913043,0.4251002918,316.9173913043,0.4250986776,507,0,0,390,316.9173913043,0,0,,,,
191.1,286.65,0.4262399708,286.65,0.4262383566,507,0,0,390,286.65,0,0,,,,
146.5891304348,219.8836956522,0.4270377462,219.8836956522,0.427036132,507,0,0,390,219.8836956522,0,0,,,,
157.8652173913,236.797826087,0.4291347557,236.797826087,0.4291331415,507,0,0,390,236.797826087,0,0,,,,
179.8239130435,269.7358695652,0.4323714442,269.7358695652,0.43236983,507,0,0,390,269.7358695652,0,0,,,,
179.8239130435,269.7358695652,0.4354485777,269.7358695652,0.4354469635,507,0,0,390,269.7358695652,0,0,,,,
175.0760869565,262.6141304348,0.4384117433,262.6141304348,0.4384101291,507,0,0,390,262.6141304348,0,0,,,,
185.1652173913,277.747826087,0.4421043034,277.747826087,0.4421026892,507,0,0,390,277.747826087,0,0,,,,
154.897826087,232.3467391304,0.4452726112,232.3467391304,0.445270997,507,0,0,390,232.3467391304,0,0,,,,
109.2,163.8,0.4472556528,163.8,0.4472540386,507,0,0,390,163.8,0,0,,,,
112.1673913043,168.2510869565,0.4498085339,168.2510869565,0.4498069197,507,0,0,390,168.2510869565,0,0,,,,
125.2239130435,187.8358695652,0.4526577316,187.8358695652,0.4526561174,507,0,0,390,187.8358695652,0,0,,,,
115.7282608696,173.5923913043,0.4548231218,173.5923913043,0.4548215076,507,0,0,390,173.5923913043,0,0,,,,
94.9565217391,142.4347826087,0.4562135303,142.4347826087,0.4562119161,507,0,0,390,142.4347826087,0,0,,,,
67.6565217391,101.4847826087,0.4568973377,101.4847826087,0.4568957235,507,0,0,390,101.4847826087,0,0,,,,
